HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
29515,292.0643287,-28.32332014,,Mensa,F,5,0.556,4.3,1.69,9.04,6204,1.126,1.19
32068,291.2553555,-27.07245023,,Mensa,F,5,0.633,3.89,2.56,9.49,5931,2.006,1.08
29092,291.4235459,-28.58307711,,Mensa,A,5,0.126,2.7,6.99,9.03,9221,1.731,2.34
28525,291.6274611,-28.87230993,,Mensa,G,5,0.602,4.14,2,8.69,5982,1.092,1.1
30837,290.4452561,-27.67624679,,Mensa,F,4,0.327,1.19,27.79,7.55,7688,3.589,1.8
33384,291.1069096,-26.39582646,Theta Mensae,Mensa,B,3,0.041,0.28,70,5.45,9717.5,3.935,2.48
34020,289.5290399,-25.85673661,,Mensa,F,5,0.563,1.68,19.84,8.21,6042.1,3.245,1.12
35091,288.6664021,-25.05569203,,Mensa,K,5,0.94,5.98,0.46,8.81,4961,0.86,0.82
30258,290.2371013,-28.00357715,,Mensa,K,5,0.793,5.72,0.54,8.98,5277,0.84,0.9
30179,289.8927434,-28.05777527,,Mensa,G,5,0.595,4.4,1.57,8.33,6149.3,1.118,1.17
31861,289.9379811,-27.12381338,,Mensa,B,5,0.071,1.18,29.44,8.57,10857,1.995,2.82
29531,289.7065785,-28.45503792,,Mensa,G,5,0.746,4.23,2,9.53,5612,1.427,0.99
31314,289.07768,-27.37982322,,Mensa,F,5,0.489,3,5.48,6.66,6402.5,1.807,1.29
30795,288.6218165,-27.6839126,,Mensa,A,4,0.062,-0.58,150.53,6.94,9359,4.258,2.38
32884,289.1360793,-26.46989083,,Mensa,A,4,0.219,1.59,19.17,7.57,8515,2.242,2.12
33140,289.2736436,-26.32737457,,Mensa,A,4,0.284,0.54,50.44,7.51,8422,4.041,2.09
34636,288.6026511,-25.32801988,,Mensa,F,5,0.551,3.56,3.33,9.73,6450.2,1.593,1.31
34748,287.7116709,-25.09416323,,Mensa,G,5,0.74,4.77,1.21,9.74,5633.9,1.101,1
36658,290.0396975,-24.42368127,,Mensa,F,5,0.589,3.05,5.43,8.14,6052.6,2.309,1.13
37411,289.3309668,-23.75509734,,Chamaeleon,F,5,0.559,4.05,2.13,8.84,6485,1.38,1.32
38132,288.9797753,-23.16736556,,Chamaeleon,A,5,0.221,2.54,8.01,8.43,8485,1.601,2.11
38478,288.9069695,-22.89498455,,Chamaeleon,F,5,0.423,2.9,5.82,8.83,7054,1.847,1.56
36008,289.2541579,-24.62237681,,Mensa,A,,0.347,3.32,3.91,9.59,7751,1.602,1.83
36744,289.0002235,-24.09038633,,Mensa,A,5,0.067,0.53,54.42,7.16,10345,3.902,2.66
36094,288.4409099,-24.37610057,,Mensa,F,5,0.487,3.8,2.59,9.38,6571,1.445,1.36
40108,287.813006,-21.19535583,,Volans,A,3,0.301,2.26,10.34,8.31,7479,2.044,1.72
40725,288.0545221,-20.78848452,,Volans,A,5,0.155,1.95,13.82,7.81,8703,1.63,2.18
39589,287.0552704,-21.30651075,,Volans,G,4,0.66,4.66,1.29,9.11,5807,1.081,1.04
35445,288.0605274,-24.71356468,,Mensa,F,5,0.523,4.01,2.18,8.24,6367.3,1.159,1.27
36941,287.4346833,-23.51370909,,Mensa,F,5,0.539,3.72,2.97,7.32,6201.5,1.441,1.19
36612,287.3389091,-23.73927946,,Mensa,F,4,0.428,3.86,2.41,8.69,6790,1.337,1.46
36556,286.4540327,-23.53043519,,Volans,A,5,0.268,1.22,27.01,7.55,7947,2.554,1.91
36577,286.0411885,-23.39968785,,Volans,F,3,0.415,0.75,42.22,7.48,6903,3.949,1.5
38205,286.834176,-22.36141599,,Volans,F,5,0.513,3.63,3.06,8.91,6663,1.52,1.41
37958,286.2090886,-22.34070113,,Volans,A,5,0.153,0.78,40.79,8.1,9604,2.204,2.45
37796,285.9090783,-22.37145619,,Volans,F,5,0.39,2.73,6.75,8.98,7547,1.607,1.75
38927,285.9093471,-21.39107711,,Volans,F,5,0.553,2.95,5.86,9.02,6539,2.306,1.35
39041,285.7264177,-21.21044434,HR 3171,Volans,A,5,0.128,0.76,41.81,6.33,8247,3.525,2.02
43762,291.6002141,-20.32693832,,Chamaeleon,A,5,0.09,0.89,37.69,8.31,9554,3.247,2.43
44689,291.3241181,-19.33194277,,Chamaeleon,F,5,0.493,4.09,1.99,8.64,6297,1.272,1.23
44669,291.1203397,-19.19812975,,Chamaeleon,B,3,0.027,0.02,92.26,7.53,10041,2.937,2.57
42984,290.8282762,-20.44421384,,Chamaeleon,A,5,0.059,0.86,40.64,6.85,9367,2.324,2.38
42830,290.7388754,-20.52511205,,Chamaeleon,A,5,0.031,1.4,25.54,8.09,10130,2.199,2.6
43845,290.4628627,-19.48938789,,Chamaeleon,G,5,0.631,4.33,1.75,8.19,5818.8,1.267,1.05
45499,291.284136,-18.55699725,,Chamaeleon,A,,0.503,2.17,11.68,9.22,6242,3.795,1.21
45803,291.0119292,-17.9963706,,Chamaeleon,B,5,0.048,0.01,90.4,7.41,9717,3.793,2.48
45850,290.7068623,-17.69804883,,Carina,F,5,0.443,2.76,6.67,8.62,6632,1.803,1.39
45271,290.6228469,-18.23317838,,Chamaeleon,B,4,0.051,0.11,81.09,7.71,9760,3.371,2.49
45585,290.1120757,-17.48735066,HR 3721,Carina,A,5,-0.024,1.29,32.79,5.86,10069,1.739,2.58
43008,289.7919714,-19.77807558,,Chamaeleon,F,5,0.492,3.93,2.3,8.75,6188,1.264,1.18
43598,289.0872964,-18.78474929,,Volans,G,,0.6,3.23,4.6,9.33,5677,2.593,1.01
42369,288.8057757,-19.73737547,,Volans,G,,0.728,4.99,0.98,9.55,5572,1.133,0.98
41478,288.6673497,-20.46070671,,Volans,A,5,0.118,1.58,19.76,6.81,8791,1.993,2.21
42168,288.7239732,-19.88163263,,Volans,K,,0.888,5.63,0.61,9.85,5284,0.89,0.91
